rank	word	en	ru	ex1	ex2
918	հայրիկ	dad, daddy	папа, папочка	Հայրիկս տուն եկավ — Папа пришёл домой	
919	բոլորովին	absolutely, quite, totally, utterly	совсем, совершенно	Ես բոլորովին հոգնած չեմ — Я совсем не устал	Դա բոլորովին այլ հարց է — Это совершенно другой вопрос
920	սյուն	column, pillar	колонна, столб	Եկեղեցու սյուները բարձր են — Колонны церкви высокие	Մեքենան բախվեց սյանը — Машина врезалась в столб
921	բացատրել	to explain	объяснять	Բացատրիր, թե ինչ եղավ — Объясни, что случилось	Ուսուցիչը նոր դասն է բացատրում — Учитель объясняет новый урок
922	գիր	letter	буква; письменность	Հայոց գրերը ստեղծվել են 405 թվականին — Армянские буквы созданы в 405 году	
923	նվեր	present, gift	подарок	Ի՞նչ նվեր ես ուզում — Какой подарок ты хочешь?	Նվեր ստացա ընկերոջից — Я получил подарок от друга
924	վաղ	early	ранний; рано	Վաղ առավոտյան արթնացա — Я проснулся рано утром	Դեռ վաղ է — Ещё рано
925	շարք	row	ряд	Առաջին շարքում ենք նստած — Мы сидим в первом ряду	մի շարք հարցեր — ряд вопросов
926	ծառա	servant	слуга	Թագավորը ծառաներ ուներ — У царя были слуги	
927	անկախ	independent	независимый	Հայաստանը անկախ երկիր է — Армения независимая страна	Ինձնից անկախ պատճառներով — По независящим от меня причинам
928	վառել	to set on fire, to burn	зажигать, жечь	Լույսը վառիր — Зажги свет	Փայտ ենք վառում վառարանում — Жжём дрова в печке
929	ճամփա	road	дорога, путь	Ճամփան երկար էր — Дорога была длинной	Բարի ճամփա — Счастливого пути
930	երջանիկ	happy, fortunate, lucky	счастливый	Ես շատ երջանիկ եմ — Я очень счастлив	երջանիկ մանկություն — счастливое детство
931	արդյունք	result; outcome; product	результат, итог	Քննության արդյունքները հայտնի են — Результаты экзамена известны	Աշխատանքն արդյունք տվեց — Работа дала результат
932	խելացի	smart, clever, intelligent	умный	Նա խելացի տղա է — Он умный парень	խելացի որոշում — умное решение
933	կանգնել	to stand	стоять, встать	Դռան մոտ կանգնիր — Встань у двери	Մի ժամ կանգնած սպասեցի — Я час прождал стоя
934	գցել	to throw; cast; hurl, fling; chuck	бросать, кидать	Գնդակը ինձ գցիր — Брось мне мяч	Աղբը դուրս գցիր — Выброси мусор
935	դարձյալ	anew, again, once again	снова, опять	Դարձյալ ուշացար — Ты опять опоздал	Դարձյալ նույն հարցը — Опять тот же вопрос
936	ցանկություն	wish, desire	желание	Մեծ ցանկություն ունեմ ճանապարհորդելու — У меня большое желание путешествовать	Ցանկություն պահիր — Загадай желание
937	վերցնել	to take	брать, взять	Գիրքը սեղանից վերցրու — Возьми книгу со стола	Ինձ էլ վերցրեք ձեզ հետ — Возьмите и меня с собой
938	զգացում	feeling, sensation, sense	чувство	Մեղքի զգացում ունեմ — У меня чувство вины	Հումորի զգացում ունի — У него есть чувство юмора
939	ավագ	older, elder, senior	старший	ավագ եղբայր — старший брат	ավագ սերունդ — старшее поколение
940	գլխավոր	main, principal, essential	главный	Դա գլխավոր հարցն է — Это главный вопрос	գլխավոր հերոս — главный герой
941	տեսություն	theory; survey	теория; обзор	Դա միայն տեսություն է — Это только теория	մամուլի տեսություն — обзор прессы
942	գրավել	to conquer; to seize	завоевать, захватить	Թշնամին գրավեց քաղաքը — Враг захватил город	
943	հավաքել	to gather, to collect	собирать	Խաղալիքներդ հավաքիր — Собери свои игрушки	Սունկ ենք հավաքում անտառում — Собираем грибы в лесу
944	անձ	person	лицо, персона	Սեղանը չորս անձի համար է — Стол на четыре персоны	վստահելի անձ — доверенное лицо
945	համ	and, both	и... и...; к тому же	Համ ուտում է, համ խոսում — И ест, и говорит	Համ էլ փող չունեմ — К тому же у меня нет денег
946	լեզվաբանություն	linguistics	лингвистика, языкознание	Լեզվաբանություն եմ ուսումնասիրում համալսարանում — Изучаю лингвистику в университете	
947	արդի	modern, contemporary, up-to-date	современный	արդի հայ գրականություն — современная армянская литература	
948	զանազան	different, various, diverse	разные, различные	Խանութում զանազան ապրանքներ կան — В магазине есть разные товары	
949	դատ	trial, judicial proceedings	суд, судебный процесс	Նրա դատը վաղն է — Его суд завтра	Նրան դատի տվեցին — На него подали в суд
950	սպանություն	killing; murder; homicide; assassination	убийство	Քաղաքում սպանություն է կատարվել — В городе совершено убийство	
951	հեր	hair	волосы (поэт.)	Աղջկա հերը երկար էր — Волосы девушки были длинными	
952	անվանում	name, title	название, наименование	Փողոցի անվանումը փոխվել է — Название улицы изменилось	
953	թաղ	neighborhood, district, quarter	квартал, район	Մենք նույն թաղում ենք մեծացել — Мы выросли в одном квартале	Մեր թաղում նոր խանութ բացվեց — В нашем квартале открылся новый магазин
954	ընտրություն	choice; election(s)	выбор; выборы	Ճիշտ ընտրություն արեցիր — Ты сделал правильный выбор	Ընտրություններին մասնակցեցինք — Мы участвовали в выборах
955	շեշտ	accent, stress, emphasis	ударение; акцент	Հայերենում շեշտը վերջին վանկի վրա է — В армянском ударение на последнем слоге	Շեշտը դիր գլխավորի վրա — Сделай акцент на главном
956	հոլով	grammatical case, declension	падеж	Հայերենն ունի յոթ հոլով — В армянском семь падежей	սեռական հոլով — родительный падеж
957	անկաշկանդ	uninhibited, free, at ease	непринуждённый, свободный	Նա իրեն անկաշկանդ էր պահում — Он вёл себя непринуждённо	անկաշկանդ խոսակցություն — непринуждённая беседа
958	աշակերտուհի	pupil (female)	ученица	Նա տասներորդ դասարանի աշակերտուհի է — Она ученица десятого класса	
959	կավիճ	chalk	мел	Գրատախտակին կավիճով գրիր — Пиши на доске мелом	
960	միրգ	fruit	фрукт	Շուկայից միրգ գնեցինք — Мы купили на рынке фрукты	թարմ մրգեր — свежие фрукты
961	այսքան	so (much)	столько, так много	Այսքան ուշ ո՞ւր ես գնում — Куда ты идёшь так поздно?	Այսքանը բավական է — Этого достаточно
962	համով	tasty, delicious	вкусный	Ճաշը շատ համով է — Обед очень вкусный	Մայրիկը համով կերակուր է եփում — Мама готовит вкусную еду
963	ամուր	firm, sturdy, solid	крепкий, прочный, твёрдый	Ամուր բռնիր ձեռքս — Крепко держи мою руку	ամուր ընտանիք — крепкая семья
964	զգեստ	dress	платье; одежда	Նա գեղեցիկ զգեստ էր հագել — На ней было красивое платье	հարսանյաց զգեստ — свадебное платье
965	օգտակար	useful	полезный	օգտակար խորհուրդ — полезный совет	Սպորտը օգտակար է առողջությանը — Спорт полезен для здоровья
966	գետին	ground	земля, пол	Մի նստիր գետնին — Не садись на землю	Գետինը թաց է — Земля мокрая
967	լավագույն	best	лучший	Նա իմ լավագույն ընկերն է — Он мой лучший друг	լավագույն դեպքում — в лучшем случае
968	թեկնածու	candidate	кандидат	Նա նախագահի թեկնածու է — Он кандидат в президенты	գիտությունների թեկնածու — кандидат наук
969	կարողություն	capacity	способность, умение	Նա մեծ կարողություններ ունի — У него большие способности	
970	հետաքրքրական	interesting	интересный	Հետաքրքրական հոդված կարդացի — Я прочитал интересную статью	
971	անտարբեր	indifferent	равнодушный	Նա անտարբեր մնաց — Он остался равнодушным	Նա անտարբեր նայեց ինձ — Он равнодушно посмотрел на меня
972	մեղմ	mild	мягкий, кроткий	Նա մեղմ ձայնով խոսեց — Он заговорил мягким голосом	մեղմ ձմեռ — мягкая зима
973	պտուղ	fruit	плод	Ծառը շատ պտուղ է տվել — Дерево дало много плодов	աշխատանքի պտուղը — плод труда
974	գրպան	pocket	карман	Բանալիները գրպանումս են — Ключи у меня в кармане	գրպանի փող — карманные деньги
975	քաղաքացիություն	citizenship	гражданство	Նա Հայաստանի քաղաքացիություն ստացավ — Он получил гражданство Армении	
976	ուսումնասիրել	to research, to study, to examine	исследовать, изучать	Գիտնականները ուսումնասիրում են լեզուն — Учёные исследуют язык	Հարցը պետք է ուսումնասիրել — Вопрос надо изучить
977	բնավ	never, not at all, not ever	вовсе, отнюдь	Ես բնավ չեմ վախենում — Я вовсе не боюсь	Բնավ էլ այդպես չէ — Вовсе не так
978	ծարավ	thirsty	жаждущий; жажда	Շատ ծարավ եմ — Я очень хочу пить	Ծարավից մեռնում եմ — Умираю от жажды
979	սառույց	ice	лёд	Ճանապարհը սառույցով է պատված — Дорога покрыта льдом	Ջուրը սառույցով տուր — Дай воду со льдом
980	գորգ	carpet	ковёр	Հայկական գորգերը հայտնի են — Армянские ковры знамениты	Գորգը փռեցինք հատակին — Мы постелили ковёр на пол
981	կապույտ	blue	синий, голубой	Երկինքը կապույտ է — Небо синее	կապույտ աչքեր — голубые глаза
982	գնացք	train	поезд	Գնացքը ուշանում է — Поезд опаздывает	Գնացքով ենք գնալու — Поедем поездом
983	հագել	to put on, wear (var. of հագնել)	надеть, одеть	Նա սև կոստյում էր հագել — На нём был чёрный костюм	Ի՞նչ ես հագել այսօր — Что на тебе сегодня надето?
984	մաքուր	clean; pure; genuine	чистый	Սենյակը մաքուր է — Комната чистая	մաքուր օդ — чистый воздух
985	խոնավ	damp, humid, moist	влажный, сырой	Օդը այստեղ խոնավ է — Воздух здесь влажный	
986	ուրբաթ	Friday	пятница	Ուրբաթ օրը հանդիպենք — Встретимся в пятницу	
987	կիրակի	Sunday	воскресенье	Կիրակի օրերին հանգստանում ենք — По воскресеньям мы отдыхаем	
988	սրճարան	café	кафе	Սրճարանում սուրճ խմեցինք — Мы выпили кофе в кафе	
989	եվրոպական	European	европейский	եվրոպական երկրներ — европейские страны	Եվրոպական միություն — Европейский союз
990	ֆրանսիացի	Frenchman or Frenchwoman	француз; француженка	Նա ֆրանսիացի է — Он француз	
991	հունական	Greek	греческий	հունական աղցան — греческий салат	հունական դիցաբանություն — греческая мифология
992	կատու	cat	кошка, кот	Կատուն մկներ է բռնում — Кошка ловит мышей	Կատու ունե՞ս — У тебя есть кошка?
993	ափսոս	what a pity!, too bad	жаль, как жаль	Ափսոս, որ չեկար — Жаль, что ты не пришёл	Ափսոս ժամանակը — Жаль времени
994	բրինձ	rice	рис	Բրնձով փլավ եփեցինք — Мы приготовили плов из риса	Բրինձը եփվել է — Рис сварился
995	թեյ	tea	чай	Մի բաժակ թեյ կխմե՞ս — Выпьешь чашку чая?	Թեյ դնեմ — Поставлю чай
996	քնել	to sleep	спать	Երեխան արդեն քնել է — Ребёнок уже уснул	Ուշ եմ քնում — Я поздно ложусь спать
997	շարժում	motion, movement	движение	Նրա շարժումները դանդաղ էին — Его движения были медленными	ազգային շարժում — национальное движение
998	հոգի	soul	душа	Հոգիս ցավում է — У меня душа болит	Ոչ մի հոգի չկար փողոցում — На улице не было ни души
999	թեթև	light	лёгкий	Պայուսակը թեթև է — Сумка лёгкая	թեթև ընթրիք — лёгкий ужин
1000	հարսանիք	wedding	свадьба	Հարսանիքի ենք հրավիրված — Мы приглашены на свадьбу	Հարսանիքը ամռանն է լինելու — Свадьба будет летом
1001	հարս	fiancée	невеста; невестка	Հարսը շատ գեղեցիկ է — Невеста очень красивая	Հարսի զգեստը սպիտակ էր — Платье невесты было белым
1002	թև	wing	рука (от плеча), крыло	Թռչունը թևերը բացեց — Птица раскрыла крылья	Թևս ցավում է — У меня болит рука
1003	թռչել	to fly	летать, лететь	Թռչունները բարձր են թռչում — Птицы летают высоко	Վաղը Մոսկվա եմ թռչում — Завтра я лечу в Москву
1004	դեղին	yellow	жёлтый	Դեղին ծաղիկներ քաղեցինք — Мы собрали жёлтые цветы	Տերևները դեղին են դառնում — Листья желтеют
1005	քառորդ	quarter, fourth, quadrant	четверть	Ժամը հինգն անց քառորդ է — Сейчас четверть шестого	Քառորդ ժամ սպասեցի — Я ждал четверть часа
1006	պարել	to dance	танцевать	Երեկույթին շատ պարեցինք — На вечеринке мы много танцевали	Նա լավ է պարում — Она хорошо танцует
1007	բարձ	pillow; cushion	подушка	Փափուկ բարձի վրա եմ քնում — Я сплю на мягкой подушке	
1008	մեկնել	to depart, to leave, to go	уезжать, отправляться	Վաղը Երևանից եմ մեկնում — Завтра я уезжаю из Еревана	Գնացքը մեկնում է ժամը վեցին — Поезд отправляется в шесть часов
1009	մոսկվա	Moscow	Москва	Նա ապրում է Մոսկվայում — Он живёт в Москве	Մոսկվայից նամակ ստացա — Я получил письмо из Москвы
1010	իրան	torso, trunk, body	талия, торс	Նա բարակ իրան ունի — У неё тонкая талия	
1011	ողջ	alive, whole, all	живой, целый	Ողջ օրը աշխատել եմ — Я работал весь день	Նա ողջ ու առողջ է — Он жив и здоров
1012	կտրել	to cut	резать, отрезать	Հացը դանակով կտրիր — Отрежь хлеб ножом	Նա կտրել է մատը — Он порезал палец
1013	հանդեպ	facing, opposite, across from	по отношению к; напротив	Հարգանք ունեմ նրա հանդեպ — Я испытываю уважение к нему	Մեր տան հանդեպ այգի կա — Напротив нашего дома сад
1014	ուղարկել	to send, to dispatch, to transmit	отправлять, посылать	Նամակ ուղարկեցի ընկերոջս — Я отправил письмо другу	Ինձ լուսանկարներ ուղարկիր — Пришли мне фотографии
1015	դեղ	drug, medicine, medicament	лекарство	Բժիշկը դեղ նշանակեց — Врач назначил лекарство	Դեղը խմիր ուտելուց հետո — Прими лекарство после еды
1016	հնագույն	very ancient, immemorial	древнейший	Երևանը հնագույն քաղաք է — Ереван древнейший город	
1017	հոտ	smell, odor; scent	запах	Թարմ հացի հոտ է գալիս — Пахнет свежим хлебом	Ծաղիկները անուշ հոտ ունեն — У цветов приятный запах
1018	մարդկային	human	человеческий	Դա մարդկային սխալ է — Это человеческая ошибка	Մարդկային հարաբերություններ — Человеческие отношения
1019	աքլոր	rooster, cock	петух	Աքլորը վաղ առավոտյան կանչում է — Петух кричит рано утром	
1020	լուռ	silent, not talking	молчаливый, тихий	Նա լուռ նստած էր — Он молча сидел	Լուռ գիշեր էր — Была тихая ночь
1021	վստահ	sure, certain, confident	уверенный	Ես վստահ եմ դրանում — Я уверен в этом	Նա վստահ քայլում էր — Он шёл уверенно
1022	ծայր	tip, end	конец, кончик	Թելի ծայրը բռնիր — Держи конец нитки	Քաղաքի մյուս ծայրում — На другом конце города
1023	փչել	to blow	дуть	Ուժեղ քամի է փչում — Дует сильный ветер	Մոմերը փչիր — Задуй свечи
1024	լու	flea	блоха	Շունը լվեր ունի — У собаки блохи	
1025	ծերուն	old, aged	старый, престарелый	Ծերուն մարդը դանդաղ քայլում էր — Старый человек шёл медленно	
1026	սրահ	hall; salon	зал; салон	Հյուրերը հավաքվել էին սրահում — Гости собрались в зале	Գեղեցկության սրահ — Салон красоты
1027	բանկ	bank	банк	Բանկից փող հանեցի — Я снял деньги в банке	Բանկը փակ է կիրակի օրը — Банк закрыт в воскресенье
1028	խանութ	shop, store	магазин	Խանութից հաց առա — Я купил хлеб в магазине	Խանութը բացվում է ժամը իննին — Магазин открывается в девять
1029	ձոր	gorge, ravine; canyon	ущелье	Ձորով գետ է հոսում — По ущелью течёт река	
1030	խուսափել	to avoid, evade, dodge	избегать	Նա խուսափում է պատասխանից — Он избегает ответа	Փորձիր խուսափել սխալներից — Постарайся избегать ошибок
1031	պատմել	to relate, tell, narrate, recount	рассказывать	Տատիկը հեքիաթ է պատմում — Бабушка рассказывает сказку	Պատմիր քո ուղևորության մասին — Расскажи о своей поездке
1032	օգտվել	to use, utilize; to take advantage of; to enjoy	пользоваться	Ես օգտվում եմ բառարանից — Я пользуюсь словарём	Օգտվիր առիթից — Воспользуйся случаем
1033	վանք	monastery	монастырь	Այցելեցինք հին վանքը — Мы посетили старинный монастырь	
1034	բակ	court; yard, courtyard	двор	Երեխաները խաղում են բակում — Дети играют во дворе	
1035	ընդունելի	acceptable	приемлемый	Դա ընդունելի տարբերակ է — Это приемлемый вариант	
1036	անցած	past, gone, bygone, former	прошлый, прошедший	Անցած տարի Երևանում էի — В прошлом году я был в Ереване	Անցած շաբաթ հանդիպեցինք — Мы встретились на прошлой неделе
1037	արտ	cornfield, tilled field, arable land	поле, нива	Արտում ցորեն է աճում — В поле растёт пшеница	
1038	երբևէ	ever	когда-либо, когда-нибудь	Երբևէ եղե՞լ ես Փարիզում — Ты когда-нибудь был в Париже?	
1039	լիովին	fully, entirely, completely, perfectly	полностью, совершенно	Ես լիովին համաձայն եմ — Я полностью согласен	Նա լիովին առողջ է — Он совершенно здоров
1040	մատչել	to approach, to draw near	приближаться, подступать	Նրան դժվար է մատչել — К нему трудно подступиться	
1041	գրաբար	Old Armenian	грабар, древнеармянский	Գրաբարով շատ գրքեր են գրվել — На грабаре написано много книг	
1042	բացառություն	exception	исключение	Ամեն կանոն ունի բացառություն — У каждого правила есть исключение	
1043	պատկեր	portrait; picture; likeness, resemblance, image	изображение, картина; образ	Գրքում շատ պատկերներ կան — В книге много изображений	Ամբողջական պատկերը պարզ դարձավ — Общая картина стала ясной
1044	առկա	present	имеющийся, наличный	Բոլոր առկա միջոցները օգտագործեցինք — Мы использовали все имеющиеся средства	Խնդիրը դեռ առկա է — Проблема всё ещё существует
1045	քանակ	quantity, number; amount	количество	Ապրանքի քանակը սահմանափակ է — Количество товара ограничено	
1046	վարչական	administrative	административный	Վարչական շենքը կենտրոնում է — Административное здание в центре	
1047	անհրաժեշտություն	necessity, need	необходимость	Դրա անհրաժեշտությունը չկա — В этом нет необходимости	
1048	տնտեսական	economic	экономический	Երկրի տնտեսական վիճակը բարելավվեց — Экономическое положение страны улучшилось	
1049	պահանջել	to demand, require	требовать	Նա պահանջեց իր փողը — Он потребовал свои деньги	Աշխատանքը մեծ ջանք է պահանջում — Работа требует больших усилий
1050	չոբան	shepherd	пастух, чабан	Չոբանը ոչխարներին սարն է տանում — Пастух ведёт овец в горы	
1051	բովանդակություն	content	содержание	Գրքի բովանդակությունը հետաքրքիր է — Содержание книги интересное	
1052	մասնագիտություն	profession, specialty	профессия, специальность	Ի՞նչ մասնագիտություն ունես — Какая у тебя профессия?	Նա ընտրեց բժշկի մասնագիտությունը — Он выбрал профессию врача
1053	կիրառել	to apply, to employ, to use	применять	Կիրառիր այս մեթոդը գործնականում — Применяй этот метод на практике	
1054	հավելում	addition	добавление; надбавка	Աշխատավարձին հավելում ստացա — Я получил надбавку к зарплате	
1055	արտասանություն	pronunciation	произношение	Նրա արտասանությունը շատ լավն է — У него очень хорошее произношение	
1056	հանրություն	society, the public	общественность	Լայն հանրությանը դա հայտնի է — Широкой общественности это известно	
1057	համեմատաբար	comparatively	сравнительно	Այսօր համեմատաբար տաք է — Сегодня сравнительно тепло	
1058	հետազոտող	researcher, investigator	исследователь	Հետազոտողները նոր մեթոդ են փորձարկում — Исследователи испытывают новый метод	
1059	լեզվակիր	native speaker	носитель языка	Լավ է սովորել լեզվակրի հետ — Хорошо учиться с носителем языка	
1060	տառ	letter (graphic sign)	буква	Հայերենն ունի երեսունինը տառ — В армянском тридцать девять букв	Գրիր մեծ տառով — Пиши с большой буквы
1061	քրիստոնյա	Christian	христианин	Նա հավատացյալ քրիստոնյա է — Он верующий христианин	
1062	թարմ	fresh	свежий	Թարմ հաց առա — Я купил свежий хлеб	Թարմ օդ է պետք — Нужен свежий воздух
1063	ձմերուկ	watermelon	арбуз	Ամռանը ձմերուկ ենք ուտում — Летом мы едим арбуз	
1064	ծիրան	apricot	абрикос	Հայկական ծիրանը շատ քաղցր է — Армянский абрикос очень сладкий	
1065	գեղեցկություն	Œyun] beauty	красота	Բնության գեղեցկությունը հիացնում է — Красота природы восхищает	
1066	հաղթել	to vanquish	побеждать	Մեր թիմը հաղթեց խաղում — Наша команда победила в игре	Նա հաղթեց մրցույթում — Он победил в конкурсе
1067	հիանալ	to admire	восхищаться	Հիանում եմ քո համբերությամբ — Восхищаюсь твоим терпением	Հիացանք տեսարանով — Мы восхитились видом
1068	կոշիկ	shoe	обувь, туфля	Նոր կոշիկներ գնեցի — Я купил новые туфли	Կոշիկներդ հանիր — Сними обувь
1069	խոշոր	huge	крупный, огромный	Խոշոր քաղաքներում կյանքը թանկ է — В крупных городах жизнь дорогая	
1070	ուտելիք	food	еда	Սեղանին շատ ուտելիք կար — На столе было много еды	
1071	գոհանալ	to content oneself	довольствоваться	Նա քչով է գոհանում — Он довольствуется малым	
1072	վկայական	diploma	свидетельство, аттестат	Ավարտելուց հետո վկայական ստացավ — После окончания он получил аттестат	
1073	ազնիվ	honest	честный	Նա ազնիվ մարդ է — Он честный человек	Ազնիվ խոսք — Честное слово
1074	զգույշ	careful, cautious	осторожный	Զգույշ եղիր ճանապարհին — Будь осторожен в дороге	Նա զգույշ վարում է — Он осторожно водит
1075	ճշմարիտ	true, genuine	истинный, подлинный	Դա ճշմարիտ պատմություն է — Это правдивая история	
1076	ծածկել	to cover	покрывать, накрывать	Ձյունը ծածկեց դաշտերը — Снег покрыл поля	Ծածկիր երեխային վերմակով — Укрой ребёнка одеялом
1077	փափուկ	soft	мягкий	Այս բազմոցը շատ փափուկ է — Этот диван очень мягкий	
1078	համբուրել	to kiss	целовать	Մայրը համբուրեց երեխային — Мать поцеловала ребёнка	
1079	պայծառ	bright	яркий; светлый	Պայծառ արև է շողում — Светит яркое солнце	Նա պայծառ միտք ունի — У него светлый ум
1080	կարոտ	in want of something, needing, wanting	тоскующий; тоска	Կարոտ եմ մնացել ընկերներիս — Я соскучился по друзьям	
1081	ապրես	attaboy!, well done!	молодец	Ապրես, լավ ես սովորել — Молодец, ты хорошо выучил	
1082	դասագիրք	textbook	учебник	Բացեք ձեր դասագրքերը — Откройте свои учебники	
1083	ժամացույց	watch, clock	часы	Նոր ժամացույց նվիրեցին ինձ — Мне подарили новые часы	Ժամացույցս կանգնել է — Мои часы остановились
1084	հաշվիչ	counting	калькулятор; счётчик	Հաշվիչով հաշվիր գումարը — Посчитай сумму на калькуляторе	Հոսանքի հաշվիչը փոխեցին — Поменяли счётчик электричества
1085	բաժակ	glass, cup	чашка, стакан	Մի բաժակ ջուր տուր — Дай стакан воды	Մի բաժակ սուրճ խմեցինք — Мы выпили по чашке кофе
1086	քաղցր	sweet	сладкий	Թեյը շատ քաղցր է — Чай очень сладкий	Ես քաղցր չեմ սիրում — Я не люблю сладкое
1087	կարկանդակ	pie	пирог, пирожок	Մայրիկը խնձորով կարկանդակ թխեց — Мама испекла яблочный пирог	
1088	աղ	salt	соль	Կերակուրին աղ ավելացրու — Добавь в еду соль	Աղը սեղանին է — Соль на столе
1089	տատիկ	grandma, granny	бабушка	Տատիկս հեքիաթներ է պատմում — Моя бабушка рассказывает сказки	
1090	նմանապես	similarly	так же; подобным образом	Այս կանոնը նմանապես գործում է այստեղ — Это правило так же действует здесь	
1091	պատահել	to meet accidentally, bump into	случайно встретить; случиться	Ճանապարհին պատահեցի հին ընկերոջս — По дороге я случайно встретил старого друга	Ի՞նչ է պատահել — Что случилось?
1092	խառնել	to stir, to mix	мешать, смешивать	Խառնիր թեյը գդալով — Помешай чай ложкой	Բոլոր բաղադրիչները խառնիր — Смешай все ингредиенты
1093	նախորդ	previous	предыдущий	Նախորդ դասը հիշո՞ւմ ես — Помнишь предыдущий урок?	
1094	ցածր	low	низкий	Ցածր ձայնով խոսիր — Говори тихим голосом	Գները ցածր են — Цены низкие
1095	անակնկալ	unexpected, unforeseen, sudden	неожиданный; сюрприз	Անակնկալ հյուրեր եկան — Пришли неожиданные гости	Քեզ համար անակնկալ ունեմ — У меня для тебя сюрприз
1096	հիսուն	fifty	пятьдесят	Նա հիսուն տարեկան է — Ему пятьдесят лет	
1097	անպայման	absolute, unconditional	обязательно; безусловный	Անպայման զանգիր ինձ — Обязательно позвони мне	
1098	պարզապես	simply, just	просто	Ես պարզապես հոգնել եմ — Я просто устал	
1099	դե	well, come on	ну, давай	Դե, գնացինք — Ну, пошли	Դե լավ, համաձայն եմ — Ну ладно, я согласен
1100	ամերիկացի	an American person	американец	Նա ամերիկացի է — Он американец	Ամերիկացիները շատ են ճանապարհորդում — Американцы много путешествуют
1101	պանիր	cheese	сыр	Հաց ու պանիր կերանք — Мы поели хлеб с сыром	
1102	ֆրանսիական	French	французский	Ֆրանսիական գինին հայտնի է — Французское вино знаменито	
1103	թուրքիա	Turkey	Турция	Նրանք հանգստացել են Թուրքիայում — Они отдыхали в Турции	
1104	քառասուն	forty	сорок	Դահլիճում քառասուն մարդ կար — В зале было сорок человек	
1105	պայուսակ	bag	сумка	Պայուսակս տանը եմ մոռացել — Я забыл сумку дома	
1106	զրույց	conversation, discussion, talk	беседа, разговор	Հետաքրքիր զրույց ունեցանք — У нас была интересная беседа	
1107	մար	Mede, inhabitant of historical Media	мидиец	Մարերը հին ժողովուրդ էին — Мидийцы были древним народом	
1108	ուսում	education, training, studies	учёба, образование	Նա ուսումը շարունակում է Երևանում — Он продолжает учёбу в Ереване	
1109	շաքար	sugar	сахар	Թեյիս մեջ շաքար մի դիր — Не клади сахар в мой чай	Մի կիլո շաքար առա — Я купил килограмм сахара
1110	թշնամի	enemy	враг	Նա թշնամիներ չունի — У него нет врагов	
1111	հիվանդանոց	hospital	больница	Նրան տարան հիվանդանոց — Его отвезли в больницу	Նա աշխատում է հիվանդանոցում — Он работает в больнице
1112	եփել	to boil, to cook in boiling water	варить	Մայրիկն ապուր է եփում — Мама варит суп	Ձու եփեցի նախաճաշին — Я сварил яйцо на завтрак
1113	իջնել	to descend, to come down	спускаться, сходить	Աստիճաններով իջանք ներքև — Мы спустились вниз по лестнице	Իջնում եմ հաջորդ կանգառում — Я выхожу на следующей остановке
1114	դուստր	daughter	дочь	Նրանք երկու դուստր ունեն — У них две дочери	
1115	բաժանվել	to divorce	разводиться, расставаться	Նրանք անցյալ տարի բաժանվեցին — Они развелись в прошлом году	
1116	հոդված	article	статья	Հետաքրքիր հոդված կարդացի — Я прочитал интересную статью	Օրենքի հինգերորդ հոդվածը — Пятая статья закона
1117	որս	hunt, hunting, catching, chase	охота	Նրանք որսի գնացին — Они пошли на охоту	
1118	կառուցել	to build, construct	строить	Այստեղ նոր դպրոց են կառուցում — Здесь строят новую школу	
1119	պատիվ	honour	честь	Դա մեծ պատիվ է ինձ համար — Это большая честь для меня	Նա պաշտպանեց իր պատիվը — Он защитил свою честь
1120	կտուր	roof	крыша	Տան կտուրը կարմիր է — Крыша дома красная	Կատուն կտուրին է — Кошка на крыше
1121	շտապել	to hurry	спешить	Շտապում եմ աշխատանքի — Я спешу на работу	Մի շտապիր, ժամանակ կա — Не спеши, время есть
1122	հաշիվ	reckoning; computation; calculation; enumeration; account	счёт	Խնդրում եմ, հաշիվը բերեք — Принесите, пожалуйста, счёт	Բանկային հաշիվ բացեցի — Я открыл банковский счёт
1123	թույն	cool, awesome, funky	классный, крутой (жарг.)	Թույն երգ է — Классная песня	Երեկույթը շատ թույն էր — Вечеринка была очень классной
1124	վայրկյան	second	секунда; миг	Մի վայրկյան սպասիր — Подожди секунду	Րոպեն ունի վաթսուն վայրկյան — В минуте шестьдесят секунд
1125	չորրորդ	fourthly	четвёртый; в-четвёртых	Մենք ապրում ենք չորրորդ հարկում — Мы живём на четвёртом этаже	
1126	գումար	sum	сумма; деньги	Մեծ գումար է պետք — Нужна большая сумма	Գումարը փոխանցեցի քո հաշվին — Я перевёл деньги на твой счёт
1127	վերաբերյալ	concerning, regarding	относительно, касательно	Հարցեր ունեմ ծրագրի վերաբերյալ — У меня вопросы относительно программы	
1128	աջ	right, not left	правый, направо	Խաչմերուկում թեքվիր աջ — На перекрёстке поверни направо	Աջ ձեռքս ցավում է — У меня болит правая рука
1129	բեռ	burden; load; freight; cargo, lading	груз; ноша	Մեքենան ծանր բեռ է տանում — Машина везёт тяжёлый груз	Դա ծանր բեռ է իմ ուսերին — Это тяжёлая ноша на моих плечах
1130	մեղք	sin	грех	Նա խոստովանեց իր մեղքերը — Он признался в своих грехах	
1131	գոհ	satisfied , content ; pleased	довольный	Ես գոհ եմ արդյունքից — Я доволен результатом	Ուսուցիչը գոհ է աշակերտներից — Учитель доволен учениками
